"movie_genre","avg_rent_rate"
"Games","3.2522950819672131"
"Travel","3.2356140350877193"
"Sci-Fi","3.2195081967213115"
"Comedy","3.1624137931034483"
"Sports","3.1251351351351351"
"New","3.1169841269841270"
"Foreign","3.0995890410958904"
"Horror","3.0257142857142857"
"Drama","3.0222580645161290"
"Music","2.9507843137254902"
"Children","2.8900000000000000"
"Animation","2.8081818181818182"
"Family","2.7581159420289855"
"Classics","2.7443859649122807"
"Documentary","2.6664705882352941"
"Action","2.6462500000000000"
