"country","total_count_customers"
"India","60"
"China","53"
"United States","36"
"Japan","31"
"Mexico","30"
"Brazil","28"
"Russian Federation","28"
"Philippines","20"
"Turkey","15"
"Indonesia","14"
"Argentina","13"
"Nigeria","13"
"South Africa","11"
"Taiwan","10"
"United Kingdom","9"
"Poland","8"
"Iran","8"
"Germany","7"
"Italy","7"
"Venezuela","7"
"Egypt","6"
"Colombia","6"
"Ukraine","6"
"Vietnam","6"
"Spain","5"
"Canada","5"
"South Korea","5"
"Pakistan","5"
"Netherlands","5"
"Saudi Arabia","5"
"Israel","4"
"France","4"
"Yemen","4"
"Peru","4"
"Dominican Republic","3"
"Bangladesh","3"
"Thailand","3"
"Algeria","3"
"Chile","3"
"Malaysia","3"
"Mozambique","3"
"Switzerland","3"
"Ecuador","3"
"Paraguay","3"
"Austria","3"
"United Arab Emirates","3"
"Morocco","3"
"Tanzania","3"
"Myanmar","2"
"Bulgaria","2"
"Cameroon","2"
"Cambodia","2"
"Congo, The Democratic Republic of the","2"
"Sudan","2"
"Romania","2"
"Latvia","2"
"Yugoslavia","2"
"Puerto Rico","2"
"Kazakstan","2"
"Greece","2"
"Bolivia","2"
"Kenya","2"
"French Polynesia","2"
"Angola","2"
"Belarus","2"
"Oman","2"
"Azerbaijan","2"
"Hungary","1"
"American Samoa","1"
"Armenia","1"
"Sri Lanka","1"
"French Guiana","1"
"Sweden","1"
"Faroe Islands","1"
"Ethiopia","1"
"Bahrain","1"
"Czech Republic","1"
"Lithuania","1"
"Turkmenistan","1"
"Tunisia","1"
"Virgin Islands, U.S.","1"
"Malawi","1"
"Chad","1"
"Afghanistan","1"
"Greenland","1"
"Moldova","1"
"Gambia","1"
"Holy See (Vatican City State)","1"
"Estonia","1"
"Slovakia","1"
"North Korea","1"
"Nauru","1"
"Liechtenstein","1"
"Senegal","1"
"Zambia","1"
"Hong Kong","1"
"Kuwait","1"
"Madagascar","1"
"Runion","1"
"Saint Vincent and the Grenadines","1"
"Tuvalu","1"
"Finland","1"
"Iraq","1"
"Anguilla","1"
"Brunei","1"
"Tonga","1"
"Nepal","1"
"New Zealand","1"
